Sample Date,Collections,Views,Objects,AvgObjSize,DataSize,StorageSize,numExtents,Indexes,IndexSize,ScaleFactor,fsUsedSize,fsTotalSize,OK,Notes
May-21,228,0,2099708565,1340.54,2814749767107,1319413953331,,815,164679783547,,,,,"Data Size, Storage Size, AvgObjSize are approximates - don't have the original json db stats from the report. Data was gleaned from reports"
19-Oct-21,228,0,2236566549,1432.79,3204527028054,1499882926080,0,818,181931053056,,1727797440512,2589673914368,1,
19-Jan-22,231,0,2252881877,1541.86,3473633193726,1611993677824,0,821,197174521856,,1853226438656,2589673914368,1,
6-Apr-22,231,0,2268855422,1666.62,3781333656760,1752814551040,0,821,210185945088,1,2003147268096,2589673914368,1,
20-Apr-22,231,0,2273081316,1686.46,3833469638354,1773096296448,0,821,212333412352,1,2026429706240,2589673914368,1,
